sample,IMG_1,IMG_2,IMG_3,IMG_4,IMG_5,IMG_6,IMG_7,IMG_8,IMG_9,IMG_10,IMG_11,IMG_12,IMG_13,IMG_14,IMG_15,IMG_16,IMG_17,IMG_18,IMG_19,IMG_20,IMG_21,IMG_22,IMG_23,IMG_24,IMG_25,IMG_26,IMG_27,IMG_28,IMG_29,IMG_30,IMG_31,IMG_32
TCGA-13-2060,0.562240005,-0.372190982,0.109285116,-0.383215398,-0.588678837,0.482331127,-0.695413291,0.572076917,-0.683096945,0.631083369,0.677886009,0.58783567,-0.507924795,-0.388199776,-0.067206681,0.880166233,-0.535876513,-0.484560728,-0.392701834,-0.748878002,0.557640314,-0.588382125,-0.60597533,-0.633631289,-0.265251845,0.381266117,-1.095034599,0.821283042,0.764824152,1.595403075,-0.528099298,-0.360974014
TCGA-13-0916,1.895652175,-0.552395999,1.427999616,-0.439673573,-0.722816467,-0.240689293,-0.418110967,-0.00640809,-0.796634674,0.408319533,0.140143856,-0.285442233,-0.714544237,0.072875068,0.870882392,0.67802614,-0.949797392,-0.607496619,-0.551119447,-0.473817557,1.417958856,-0.89459163,-0.710309446,-0.77261281,-0.488406658,0.410136998,-1.332883477,1.992889166,1.120023251,1.815109372,-0.714259028,-0.639478147
TCGA-25-2404,0.742338955,-0.805981994,-1.706843615,-0.834075212,-0.993497789,-0.770231426,-0.651164234,1.465366006,-0.840842545,1.649451494,4.886708736,1.890818357,-0.934292257,1.057266593,-1.032683015,2.375570059,-1.967564821,-0.897191465,-0.81850183,-0.639754117,-1.261979222,-1.323262453,-1.344533801,-1.933166027,-0.721409619,-0.671448827,-2.215712309,0.108329751,-0.360006154,-0.487934709,-0.768507898,-0.766459465
TCGA-61-2002,1.261016369,-0.643549323,-0.599646568,-0.657274842,-0.981999636,-0.565051913,-0.897256255,-0.000410876,-0.856400549,0.648617983,1.619098902,0.233236462,-0.925111949,0.033448663,-0.045822401,0.918190479,-1.364529133,-0.712219238,-0.688623965,-0.267483294,0.57318449,-0.897713959,-0.658194363,-0.741909087,-0.539226532,0.277949005,-1.625585675,1.059297323,0.704214573,1.42823565,-0.772790372,-0.702646971
TCGA-09-1673,0.445451856,-0.528310061,-0.011285105,-0.465744048,-0.790468037,0.458132356,-0.201142311,0.175106257,-0.991984487,0.962304175,0.882675588,0.09637066,-0.892581284,-0.706514955,0.64258647,1.456165791,-0.245746687,-0.622063458,-0.565154195,1.243885398,0.350990891,-0.879748762,-0.814566493,-0.281659216,-0.515403092,-0.073605463,-1.398581624,1.585324764,0.555753648,1.421263933,-0.774850368,-0.57595861
TCGA-61-1740,-0.296146899,-0.802066743,-1.474506974,-0.864814341,-0.92447561,-1.372481227,0.36093083,2.020559311,-0.871785164,2.363677263,5.386853695,2.518143415,-0.67479372,2.265254498,-0.991429329,2.910702229,-1.629704952,-0.814239502,-0.722095013,-1.945727825,-1.505839825,-1.424510002,-1.065893888,-1.702724099,-0.748165846,-1.448465347,-2.267220259,-0.967659712,-1.19348371,-0.373974234,-0.746046543,-0.741952062
TCGA-09-1674,-0.541326761,-0.744705558,-1.251573563,-0.640525699,-0.884300172,-0.764286697,0.061955892,1.266861558,-0.782628238,2.424530268,5.248004913,1.897890687,-0.795734584,2.031196594,-0.632360101,2.393249512,-0.906514466,-0.763777375,-0.676118135,-0.671054959,-0.697209835,-1.056333184,-0.762094319,-1.380030632,-0.741695046,-0.989982545,-1.778793573,-0.751839876,-1.013273239,-0.288078457,-0.647557914,-0.715537548
TCGA-61-2012,1.263505697,-0.83186692,-1.5785712,-0.78172487,-1.002820134,-0.63916707,-0.938748837,0.778667152,-0.906647265,0.546535909,3.546239614,0.840435445,-0.987339258,0.233742326,-0.703383207,1.460239172,-1.633280396,-0.917287529,-0.81572932,-0.900075853,-0.819218814,-1.382494926,-1.234925389,-1.609354377,-0.746024311,-0.215953365,-2.080998898,1.093434095,0.185812727,-0.3059026,-0.74266994,-0.713015139
TCGA-24-2254,0.983757377,-0.600335717,-0.558338165,-0.644500911,-0.930303276,-0.681223571,-0.547046542,0.387078822,-0.855533183,0.439282209,1.800236702,0.268909603,-0.851978838,-0.886960626,-0.302981019,1.011307836,-1.231475711,-0.655371487,-0.692800164,-0.665441036,0.051413186,-1.047334552,-0.634322762,-0.8312729,-0.599429727,0.088427022,-1.815114856,1.308141708,0.492696136,0.686731994,-0.73082453,-0.668157578
TCGA-09-1659,-0.304219186,-0.399582922,-0.132550538,-0.383151621,-0.647623777,1.720892787,-0.29493615,1.337672472,-0.732313037,1.311897278,1.794024944,1.161067128,-0.55294615,-0.038991049,-0.053257637,2.005705595,-0.649188876,-0.508851588,-0.444515884,-0.018154442,-0.268580914,-0.644315779,-0.768262923,-0.633171856,-0.316512078,-0.257171273,-1.066776514,0.150505111,-0.000111124,0.869059622,-0.564547598,-0.37860477
