sample,META_1,META_2,META_3,META_4,META_5,META_6,META_7,META_8,META_9,META_10,META_11,META_12,META_13,META_14,META_15,META_16,META_17,META_18,META_19,META_20,META_21,META_22,META_23,META_24,META_25,META_26,META_27,META_28,META_29,META_30,META_31,META_32
TCGA-25-1315,-0.821894109,-0.664837062,0.023130616,1.983985543,0.945462883,-0.711034715,-0.544488013,-0.811562538,0.137287632,-0.79637152,-0.001222654,-0.233149365,-0.528244674,-0.567199886,1.633816481,1.373557925,-0.554803967,0.769358993,-0.670224547,-0.575427532,0.410801202,-0.568591237,-0.292817563,0.611665189,-0.747213185,-0.192724869,-0.704074562,-0.617830813,-0.790081263,-0.706354022,-0.116425492,0.492661268
TCGA-09-0369,-0.821894109,-0.664837062,1.653868079,-0.652933538,-0.548449397,-0.371126175,-0.544488013,-0.811562538,2.911602974,-0.048873264,-0.649255633,-0.036864668,3.68273735,-0.567199886,-0.805023968,0.652929366,-0.554803967,-0.68435353,-0.492283791,2.464076042,-0.640707493,-0.568591237,1.504955769,-0.469774961,-0.747213185,2.689487934,-0.704074562,2.001085758,-0.833766103,-0.706354022,0.239206597,-0.87648809
TCGA-61-1900,-0.821894109,-0.664837062,0.949161649,1.967502356,-0.548449397,-0.711034715,-0.544488013,-0.811562538,0.146686599,-0.231149718,-0.649255633,0.497685254,0.296918631,0.112113148,-0.805023968,0.482822597,-0.554803967,0.123413503,-0.670224547,-0.570504904,1.956235528,2.199271917,0.786642373,-0.469774961,-0.747213185,-0.451045603,-0.704074562,-0.617830813,-0.833766103,-0.553131044,2.244244576,-0.87648809
TCGA-13-1499,-0.665926397,-0.640968919,-0.165190652,-0.04524881,1.611222148,1.665693402,0.5617764,-0.811562538,-0.739479363,0.683618903,1.877540588,-0.667148054,-0.528244674,0.678122282,-0.805023968,1.544557214,-0.554803967,0.894675374,-0.670224547,0.224033251,0.709193885,3.965275526,-0.646508574,-0.469774961,-0.747213185,-0.657317281,-0.704074562,-0.514808834,0.451222271,-0.373514116,1.289499164,-0.87648809
TCGA-25-1633,-0.821894109,0.040353216,-0.624816239,0.228329182,-0.548449397,-0.711034715,-0.544488013,-0.811562538,-0.739479363,-0.79637152,-0.649255633,-0.667148054,-0.528244674,-0.567199886,-0.805023968,0.264234483,-0.169714347,-0.68435353,-0.670224547,1.752066016,1.776016712,-0.568591237,-0.646508574,-0.469774961,-0.747213185,0.473298788,-0.704074562,-0.617830813,-0.833766103,-0.386733353,-0.16904147,0.850458384
TCGA-13-0800,-0.821894109,0.875269711,-0.624816239,-0.652933538,-0.548449397,-0.711034715,-0.544488013,-0.811562538,-0.739479363,-0.79637152,-0.649255633,-0.667148054,2.024980068,-0.567199886,0.375646979,-0.7336272,-0.554803967,1.219803333,-0.670224547,-0.575427532,2.815204859,-0.568591237,-0.646508574,-0.469774961,0.095404044,2.317981958,-0.704074562,-0.617830813,-0.833766103,0.854471147,-0.704068959,-0.87648809
TCGA-61-1998,-0.821894109,1.84597683,0.441557348,-0.452113807,-0.548449397,0.039583988,0.154457659,0.658675075,-0.739479363,0.103324488,0.744766712,0.313226759,-0.528244674,-0.567199886,0.52063781,3.30702877,-0.554803967,0.896859109,-0.670224547,2.41070962,-0.640707493,2.460191727,-0.646508574,0.847169459,-0.747213185,-0.657317281,-0.704074562,-0.617830813,0.544353306,0.393812835,-0.704068959,-0.87648809
TCGA-61-2003,-0.646086037,-0.664837062,-0.603862286,0.311441272,-0.548449397,0.672681332,-0.544488013,-0.811562538,0.8777619,-0.79637152,-0.56399405,1.12769115,-0.528244674,-0.567199886,0.006409062,0.010490862,-0.554803967,-0.68435353,0.167949587,-0.575427532,-0.640707493,0.00569592,0.718694687,-0.469774961,-0.747213185,-0.657317281,-0.704074562,-0.617830813,-0.070278786,0.633561075,-0.037986606,0.983520806
TCGA-25-2404,0.583658159,1.27682817,0.009875954,-0.003920529,-0.548449397,-0.711034715,-0.544488013,1.111324072,1.408235312,0.017475285,0.982208252,1.231325984,-0.528244674,-0.567199886,1.284690619,-0.51689285,0.870081127,-0.68435353,-0.670224547,2.921970129,-0.640707493,-0.568591237,-0.218349501,-0.469774961,-0.747213185,-0.657317281,-0.295854986,0.194777802,1.475986362,-0.706354022,0.763933897,-0.341233194
TCGA-13-0768,-0.821894109,-0.664837062,-0.624816239,0.692133129,-0.548449397,2.926700115,-0.544488013,1.38457334,-0.739479363,-0.79637152,2.266637802,1.308876395,-0.528244674,0.667126417,-0.805023968,0.277441621,-0.554803967,0.677470922,0.282597393,1.48135078,-0.640707493,0.931147039,1.486038685,-0.469774961,-0.747213185,-0.158158779,1.672219872,1.471920848,-0.833766103,0.325596601,-0.704068959,-0.87648809
TCGA-24-0970,1.392853618,-0.664837062,-0.624816239,0.205013305,-0.548449397,1.773846984,-0.544488013,1.380247712,1.766859055,-0.511933923,-0.05133681,-0.393366128,0.30922994,0.444990367,-0.805023968,0.361922532,-0.554803967,-0.68435353,5.097762585,-0.227314875,-0.640707493,-0.568591237,3.149953127,0.945594072,0.361032516,-0.245129257,1.318196416,2.989063978,-0.833766103,-0.706354022,-0.704068959,1.354934454
TCGA-13-0720,0.248557776,-0.664837062,-0.624816239,-0.652933538,1.777938604,-0.711034715,0.843393683,1.454437494,0.167656273,0.070479341,-0.649255633,-0.667148054,-0.250594258,-0.567199886,-0.805023968,1.283111691,0.147725075,-0.47469461,1.450743079,-0.575427532,-0.359519184,-0.568591237,0.780249238,-0.469774961,-0.244832247,-0.657317281,1.544711709,0.184564725,0.465845287,-0.241234988,0.160344422,0.424165756
TCGA-24-0966,0.607324958,-0.664837062,-0.624816239,-0.652933538,-0.548449397,0.766791821,0.155758157,0.468368977,-0.519785523,-0.79637152,2.286033154,-0.667148054,1.219672322,4.13555479,1.505316734,-0.7336272,-0.554803967,-0.68435353,1.489213228,-0.575427532,0.839704275,-0.568591237,2.322412014,2.418660879,4.5167346,-0.074402116,4.252413273,1.317430735,-0.833766103,-0.578845501,-0.704068959,-0.87648809
TCGA-24-1423,0.56126523,1.88764298,-0.624816239,-0.652933538,-0.548449397,-0.644336462,-0.544488013,1.193102479,-0.455793202,-0.79637152,-0.054296084,-0.667148054,-0.528244674,-0.567199886,-0.805023968,-0.685681403,2.167886496,-0.68435353,-0.47011447,-0.575427532,-0.640707493,-0.568591237,-0.646508574,-0.469774961,2.352780581,-0.657317281,-0.380246699,-0.617830813,2.036994696,-0.706354022,-0.704068959,1.41358757
TCGA-13-0795,-0.469767392,-0.664837062,-0.624816239,-0.652933538,-0.548449397,1.659589648,-0.544488013,0.840347171,-0.739479363,-0.79637152,3.112721682,-0.667148054,-0.528244674,1.504993558,0.303096324,0.181916788,-0.554803967,-0.53201896,0.303695589,-0.575427532,0.414104462,1.689261794,-0.558866143,0.350141674,1.4540416,-0.657317281,-0.704074562,-0.507008374,-0.833766103,1.277641177,-0.704068959,1.395782471
TCGA-09-0367,-0.821894109,-0.664837062,1.28973639,-0.652933538,-0.318280101,0.885742903,-0.544488013,-0.351286888,-0.674602449,-0.79637152,-0.649255633,-0.667148054,-0.528244674,0.682103992,1.213690639,-0.7336272,-0.554803967,-0.68435353,1.267209768,-0.575427532,-0.172814459,-0.568591237,0.495234728,0.405835837,2.263487577,1.200249553,0.460402489,2.026390314,-0.833766103,-0.706354022,-0.704068959,-0.87648809
TCGA-61-1740,0.066237479,1.933484077,1.121584296,-0.106597856,-0.169769764,-0.150817394,-0.544488013,-0.21897909,-0.687423885,-0.79637152,-0.649255633,-0.667148054,-0.528244674,-0.567199886,-0.805023968,0.443585902,2.731423616,-0.035637233,0.078611724,-0.575427532,-0.640707493,-0.568591237,-0.646508574,-0.469774961,-0.235682011,0.818543732,-0.704074562,-0.617830813,1.091802597,-0.706354022,-0.704068959,-0.574025512
TCGA-61-1737,-0.305246085,-0.664837062,0.438113332,1.324091792,-0.548449397,1.177418828,1.034271002,-0.811562538,0.349219471,-0.79637152,-0.240686968,0.848570228,-0.528244674,-0.567199886,0.216571212,-0.322994798,-0.554803967,-0.466249287,-0.670224547,0.900533438,-0.640707493,1.05497539,2.06446147,1.234448195,-0.747213185,-0.485745877,0.840894222,-0.2066181,-0.036593635,-0.706354022,-0.08859802,0.086832516
TCGA-13-1409,1.702450752,0.109964766,-0.624816239,-0.652933538,-0.548449397,-0.711034715,-0.544488013,-0.361762255,-0.739479363,-0.79637152,-0.649255633,-0.667148054,-0.528244674,2.115866184,0.53993088,-0.7336272,-0.554803967,-0.68435353,0.608383238,-0.575427532,-0.209966168,-0.568591237,-0.646508574,-0.469774961,1.488147378,-0.657317281,1.123489857,-0.617830813,-0.038729284,0.634231329,-0.704068959,-0.87648809
