sample,Meta_1,Meta_2,Meta_3,Meta_4,Meta_5,Meta_6,Meta_7,Meta_8,Meta_9,Meta_10,Meta_11,Meta_12,Meta_13,Meta_14,Meta_15,Meta_16,Meta_17,Meta_18,Meta_19,Meta_20,Meta_21,Meta_22,Meta_23,Meta_24,Meta_25,Meta_26,Meta_27,Meta_28,Meta_29,Meta_30,Meta_31,Meta_32
TCGA-25-1315,-0.662404597,-0.651495576,-0.611698449,-0.67458564,-0.12296541,0.990908504,-0.611003876,-0.14010331,-0.698075354,-0.612541854,0.751967072,0.517199099,-0.671603322,-0.704876959,-0.641232073,0.1079657,0.209381819,-0.642264068,-0.658977985,-0.677843869,-0.368455768,-0.630120635,0.882987916,0.653820574,-0.623677909,-0.623158455,-0.6593256,0.850591898,-0.65771687,0.744086862,1.02177608,-0.491862118
TCGA-09-0369,-0.662404597,-0.003962799,-0.611698449,0.435785562,-0.680395126,-0.641214371,0.371596783,-0.687467456,-0.698075354,-0.606737018,-0.123839468,-0.017800633,-0.671603322,-0.704876959,-0.641232073,0.311320066,-0.640048981,-0.1464158,-0.658977985,-0.012791812,-0.635444105,-0.402062505,-0.643956363,-0.706435263,1.495640516,1.653094649,0.771105051,-0.687585115,-0.65771687,0.036289908,-0.693460643,0.031530332
TCGA-61-1900,-0.662404597,-0.651495576,-0.611698449,-0.672914684,-0.680395126,0.073235825,-0.374962091,-0.687467456,-0.171297759,-0.612541854,0.933391571,1.442056656,-0.671603322,-0.580365658,1.061841607,1.12776041,-0.640048981,-0.642264068,-0.658977985,-0.677843869,-0.528428376,-0.630120635,0.496588945,-0.706435263,1.978288889,0.363066405,-0.622360647,-0.19548364,0.268608779,0.850226939,-0.011438164,1.653096676
TCGA-13-1499,-0.662404597,-0.651495576,-0.611698449,-0.67458564,0.169420168,1.006655216,-0.611003876,0.884571552,0.871291637,-0.612541854,-0.66945678,0.081573665,-0.671603322,-0.704876959,-0.641232073,1.214702845,0.863963664,-0.642264068,-0.658977985,-0.677843869,-0.635444105,-0.630120635,2.263136864,0.739459157,-0.615612268,-0.623158455,-0.6593256,-0.578260839,-0.65771687,-0.022911837,-0.315164298,-0.128423616
TCGA-25-1633,-0.662404597,-0.472689182,-0.611698449,-0.561328351,-0.680395126,-0.302092701,-0.611003876,-0.588832557,-0.697392941,-0.496015549,-0.148649141,0.036848322,-0.671603322,-0.478996485,-0.641232073,-0.636673808,-0.640048981,-0.642264068,-0.658977985,-0.540420055,-0.635444105,-0.630120635,-0.185434222,-0.650951326,-0.253516316,-0.3517524,0.886983395,-0.687585115,-0.65771687,-0.608967423,0.029083924,-0.622409403
TCGA-13-0800,-0.662404597,0.292901605,0.693621814,-0.67458564,0.407474875,1.140910864,-0.611003876,-0.397457421,-0.698075354,-0.612541854,-0.66945678,-0.575765073,-0.671603322,-0.704876959,-0.641232073,-0.310038298,0.630512059,-0.334987164,-0.658977985,1.065520525,-0.635444105,-0.390437305,-0.643956363,-0.706435263,-0.623677909,-0.012789391,-0.6593256,-0.687585115,-0.209568828,-0.608967423,-0.693460643,-0.622409403
TCGA-61-1998,0.661931157,-0.651495576,-0.08377526,-0.67458564,-0.680395126,-0.184500426,-0.611003876,-0.170310378,-0.698075354,-0.612541854,-0.66945678,-0.675039291,-0.240974694,-0.704876959,0.130766198,-0.636673808,-0.640048981,-0.530507982,-0.648048759,-0.677843869,-0.243445516,-0.630120635,-0.643956363,0.232892677,-0.623677909,-0.623158455,0.285658002,-0.687585115,0.645638525,-0.608967423,0.41285634,-0.195838362
TCGA-61-2003,1.177752614,-0.651495576,0.254224837,0.329212993,-0.680395126,-0.641214371,-0.523633242,-0.687467456,-0.465241998,-0.612541854,0.493461132,0.144742623,-0.483271867,0.653436959,0.438568324,-0.099605024,-0.640048981,-0.642264068,-0.658977985,0.204469979,0.317370683,-0.630120635,-0.250746876,-0.706435263,0.181376442,-0.623158455,-0.5667395,-0.687585115,-0.65771687,0.138959646,-0.315944523,-0.110258974
TCGA-25-2404,-0.662404597,-0.651495576,-0.611698449,-0.389396936,-0.613118768,-0.402620852,-0.611003876,-0.687467456,-0.487859964,-0.612541854,-0.66945678,0.171183482,-0.671603322,-0.704876959,-0.036621816,-0.636673808,-0.640048981,-0.642264068,-0.658977985,-0.677843869,0.653926611,-0.630120635,-0.643956363,0.600220084,-0.623677909,-0.623158455,-0.406208456,-0.687585115,-0.128222272,0.29086864,-0.126083657,0.248594865
TCGA-13-0768,-0.662404597,-0.651495576,0.369164497,-0.67458564,-0.334645331,-0.275554359,-0.611003876,0.674252272,-0.698075354,-0.612541854,-0.66945678,0.161079407,-0.671603322,-0.704876959,0.144288152,-0.254706472,-0.640048981,-0.642264068,-0.658977985,-0.677843869,-0.635444105,-0.630120635,0.703927338,-0.706435263,0.342533201,-0.623158455,1.300455332,-0.687585115,1.04846108,-0.325097263,-0.693460643,-0.622409403
